age,sex,address,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3
18,F,U,4,4,2,2,0,yes,no,no,no,yes,no,no,4,3,4,3,4,0,5.5,5.5
17,F,U,1,1,1,2,0,no,yes,no,no,yes,yes,no,5,3,3,3,2,4.5,5.5,5.5
15,F,U,1,1,1,2,0,yes,no,no,no,yes,yes,no,4,3,2,3,6,6,6.5,6
15,F,U,4,2,1,3,0,no,yes,no,yes,yes,yes,yes,3,2,2,5,0,7,7,7
16,F,U,3,3,1,2,0,no,yes,no,no,yes,no,no,4,3,2,5,0,5.5,6.5,6.5
16,M,U,4,3,1,2,0,no,yes,no,yes,yes,yes,no,5,4,2,5,6,6,6,6.5
16,M,U,2,2,1,2,0,no,no,no,no,yes,yes,no,4,4,4,3,0,6.5,6,6.5
17,F,U,4,4,2,2,0,yes,yes,no,no,yes,no,no,4,1,4,1,2,5,6.5,6.5
15,M,U,3,2,1,2,0,no,yes,no,no,yes,yes,no,4,2,2,1,0,7.5,8,8.5
15,M,U,3,4,1,2,0,no,yes,no,yes,yes,yes,no,5,5,1,5,0,6,6,6.5
15,F,U,4,4,1,2,0,no,yes,no,no,yes,yes,no,3,3,3,2,2,7,7,7
15,F,U,2,1,3,3,0,no,yes,no,yes,yes,yes,no,5,2,2,4,0,5,6,6.5
15,M,U,4,4,1,1,0,no,yes,no,yes,yes,yes,no,4,3,3,5,0,6,6.5,6
15,M,U,4,3,2,2,0,no,yes,no,no,yes,yes,no,5,4,3,3,0,6,6,6.5
15,M,U,2,2,1,3,0,no,yes,no,no,yes,yes,yes,4,5,2,3,0,7,7,7.5
16,F,U,4,4,1,1,0,no,yes,no,no,yes,yes,no,4,4,4,2,6,8.5,8.5,8.5
16,F,U,4,4,1,3,0,no,yes,no,yes,yes,yes,no,3,2,3,2,10,6.5,6.5,7
16,F,U,3,3,3,2,0,yes,yes,no,yes,yes,no,no,5,3,2,4,2,6.5,7,7
17,M,U,3,2,1,1,3,no,yes,yes,yes,yes,yes,no,5,5,5,5,2,4,4,3.5
16,M,U,4,3,1,1,0,no,no,no,yes,yes,yes,no,3,1,3,5,6,6,6,6
15,M,U,4,3,1,2,0,no,no,no,no,yes,yes,no,4,4,1,1,0,6,6.5,7
15,M,U,4,4,1,1,0,no,yes,yes,no,yes,yes,no,5,4,2,5,0,5.5,6,6
16,M,U,4,2,1,2,0,no,no,no,yes,yes,yes,no,4,5,1,5,0,6,6.5,7
16,M,U,2,2,2,2,0,no,yes,no,yes,yes,yes,no,5,4,4,5,2,5,5,5
15,F,R,2,4,1,3,0,yes,yes,no,yes,yes,yes,no,4,3,2,5,2,5,5.5,5
16,F,U,2,2,1,1,0,no,yes,no,no,yes,yes,no,1,2,2,5,6,5,5.5,6
15,M,U,2,2,1,1,0,no,yes,no,no,yes,yes,no,4,2,2,5,8,5.5,6,6
15,M,U,4,2,1,1,0,no,no,no,no,yes,yes,no,2,2,4,1,0,5.5,5.5,5.5
16,M,U,3,4,1,2,0,yes,yes,yes,yes,yes,yes,no,5,3,3,5,2,6,6,6.5
16,M,U,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,4,6,5.5,6
15,M,U,4,4,1,2,0,no,yes,yes,no,yes,yes,no,5,4,2,5,0,5,5.5,5.5
15,M,U,4,4,2,2,0,no,yes,no,yes,yes,yes,no,4,3,1,5,2,7.5,7.5,7.5
15,M,R,4,3,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,2,5,0,6.5,7,7.5
15,M,U,3,3,1,2,0,no,no,no,yes,yes,yes,no,5,3,2,2,0,6.5,6,6
16,M,U,3,2,1,1,0,no,yes,no,no,yes,yes,no,5,4,3,5,4,6,6,6
15,F,U,2,3,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,5,4,5.5,5.5,5.5
15,M,U,4,3,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,4,0,7,7,7
16,M,R,4,4,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,5,4,6.5,6.5,6.5
15,F,R,3,4,1,3,0,yes,yes,no,yes,yes,yes,no,4,3,2,5,2,5.5,6,6
15,F,R,2,2,1,1,0,yes,yes,no,yes,yes,no,no,4,3,1,2,8,7,6.5,6
16,F,U,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,3,3,3,3,16,5.5,5.5,5
15,M,U,4,4,1,1,0,no,yes,no,no,yes,yes,yes,5,4,3,5,8,5,5.5,5.5
15,M,U,4,4,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,5,0,7,7.5,7.5
15,M,U,2,2,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,0,4.5,5,5
16,F,U,2,2,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,5,14,5,5.5,5.5
15,F,U,4,3,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,5,4,5,5.5,5.5
16,F,U,3,3,1,2,0,no,yes,no,no,yes,yes,no,2,3,5,3,6,6.5,6,6.5
16,M,U,4,3,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,2,2,8.5,8.5,8.5
15,M,U,4,2,1,2,0,no,yes,no,no,yes,no,no,4,3,3,5,4,5.5,6,6.5
15,F,U,4,4,1,2,0,yes,yes,no,yes,yes,yes,no,4,4,4,3,2,6.5,6,6
16,F,U,2,2,3,2,0,no,yes,no,no,yes,yes,no,4,3,3,4,0,7,6.5,6.5
15,F,U,4,2,1,2,0,no,yes,no,no,yes,yes,no,4,3,3,5,0,8,7,8
15,M,U,4,2,2,1,0,no,no,no,no,yes,no,no,5,5,5,5,4,5,4.5,4.5
15,F,U,4,4,1,1,0,yes,yes,no,no,yes,yes,no,3,3,4,5,0,6.5,6,6
15,F,U,3,3,1,1,0,no,no,no,no,yes,yes,no,5,3,4,1,0,6.5,6,6.5
16,F,U,2,1,1,2,0,no,no,no,yes,yes,yes,yes,5,3,4,2,2,6,6.5,6
15,F,U,4,3,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,1,0,7.5,7,7.5
15,M,U,4,4,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,5,8,7.5,7.5,8
15,M,U,1,2,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,5,0,7,6.5,7
16,F,U,4,2,1,2,0,no,yes,yes,no,yes,yes,no,4,2,3,5,2,8,7.5,8
16,F,R,4,4,1,2,0,no,yes,no,yes,yes,no,no,2,4,4,4,0,8.5,8,8
16,F,U,1,1,4,1,0,yes,yes,no,yes,yes,yes,yes,5,5,5,5,0,5,5,8
16,F,U,1,2,1,2,0,yes,no,no,yes,yes,yes,no,4,4,3,1,0,6.5,6.5,5
16,F,U,4,3,1,3,0,yes,yes,no,yes,yes,yes,no,3,4,4,4,0,7,6.5,6.5
15,F,U,4,3,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,0,6.5,6,6
16,F,U,4,3,3,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,8,7.5,8
15,M,U,4,4,1,4,0,no,yes,no,yes,yes,yes,yes,1,3,3,3,0,5.5,6,6
16,F,U,3,1,1,4,0,yes,yes,no,no,yes,yes,no,4,3,3,5,0,5,4.5,5
15,F,R,2,2,2,2,0,yes,yes,no,no,yes,yes,no,4,1,3,4,0,5.5,5,5.5
15,F,R,3,1,2,4,0,no,yes,no,no,yes,yes,no,4,4,2,3,6,7.5,7.5,7.5
16,M,U,3,1,2,4,0,no,yes,no,no,yes,yes,no,4,3,2,5,2,6.5,5.5,5.5
15,M,U,4,2,1,4,0,no,no,no,no,yes,yes,no,3,3,3,3,0,5.5,4.5,5
15,F,R,1,1,1,2,0,yes,yes,no,no,yes,yes,yes,3,3,4,5,2,6.5,5.5,5.5
16,M,U,3,1,1,1,0,no,no,no,yes,yes,no,no,5,3,2,5,0,6.5,6.5,7
16,F,U,3,3,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,3,5,4,5.5,5.5,5.5
15,M,U,4,3,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,5,0,5.5,5.5,5.5
15,M,U,4,0,2,4,0,no,no,no,yes,yes,yes,no,3,4,3,1,0,6,5.5,5.5
16,F,U,2,2,1,4,0,no,no,no,no,yes,yes,yes,5,2,3,3,1,6.5,6.5,6.5
17,M,U,2,1,2,1,3,yes,yes,no,yes,no,yes,no,4,5,1,3,0,4.5,4.5,5
16,F,U,3,4,1,2,0,no,yes,no,no,yes,yes,no,2,4,3,3,14,6,5.5,5.5
15,M,U,2,3,1,1,0,yes,yes,no,yes,yes,yes,yes,3,2,2,3,0,5.5,5.5,6
15,M,U,2,3,1,3,0,yes,no,no,no,yes,yes,no,5,3,2,5,2,5,4.5,4.5
15,F,U,3,2,1,2,0,no,yes,no,no,yes,yes,no,4,4,4,5,4,6,5.5,5.5
15,M,U,2,2,2,2,0,no,no,yes,yes,yes,yes,no,5,3,3,4,2,6.5,6,6.5
15,F,U,1,1,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,4,2,6.5,6,6
15,F,U,4,4,2,2,0,no,no,no,no,yes,yes,yes,4,4,4,5,4,6,5.5,6
16,F,U,2,2,1,2,0,no,yes,no,no,yes,no,no,4,3,4,2,6,6.5,5.5,5.5
15,F,U,4,2,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,4,7.5,7.5,7.5
16,M,U,2,2,2,2,0,no,no,no,yes,yes,yes,no,4,4,2,3,6,6,5,5.5
16,M,U,4,4,1,2,0,no,yes,no,no,yes,no,no,4,1,3,5,6,4.5,4.5,5
16,F,U,3,3,1,3,0,no,yes,no,no,yes,yes,yes,4,3,3,4,2,4.5,5.5,5.5
15,F,U,4,3,1,1,0,no,no,no,yes,yes,yes,no,4,5,5,1,6,7,6.5,6.5
16,F,U,3,1,1,2,0,yes,yes,no,no,yes,no,no,3,3,3,2,0,6,6.5,6
16,F,U,4,2,2,2,0,no,yes,no,yes,yes,yes,no,5,3,3,1,2,6.5,7,7
