feature,importance
G2,0.8266396002580246
absences,0.03547307573466362
G1,0.018597819107706543
age,0.009487762283094643
Dalc,0.007397742393041797
Medu,0.007338381273428221
freetime,0.007226697473412002
famrel,0.006270203939716296
reason_other,0.005245110416029275
goout,0.005225112976442458
Walc,0.0045379326387530155
traveltime,0.004499578834592062
health,0.0044542649859766635
failures,0.003935382214132862
Fedu,0.0038798143075550987
school_GP,0.0036559982627795565
school_MS,0.0035208830051281638
studytime,0.0031774619518412416
Mjob_teacher,0.003115535909760203
guardian_father,0.0019357184134277932
